
--- Minimize function Ackley-10dim

TTOpt        | t=   1.5 | ey=2.1e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   1.5 | ey=2.0e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   1.5 | ey=2.1e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   1.5 | ey=2.1e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   1.5 | ey=2.0e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   1.5 | ey=2.1e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   1.5 | ey=2.1e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   1.5 | ey=2.0e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   1.5 | ey=2.1e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   1.5 | ey=2.1e+01 | evals=1.0e+05 | n=65536, r=  4
TTOpt        | t=   1.0 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   1.0 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   1.0 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   1.0 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   1.0 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   1.0 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   1.0 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   1.0 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   1.0 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   1.0 | ey=2.0e-03 | evals=1.0e+05 | p=2, q=16, r=  4
TTOpt        | t=   0.4 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   0.4 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   0.4 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   0.4 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   0.4 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   0.4 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   0.5 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   0.5 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   0.4 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   0.4 | ey=2.0e-03 | evals=1.0e+05 | p=4, q= 8, r=  4
TTOpt        | t=   6.6 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=   6.8 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=   6.7 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=   6.7 | ey=2.2e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=   6.7 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=   6.7 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=   6.7 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=   6.7 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=   6.7 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=   6.7 | ey=2.1e+01 | evals=1.0e+05 | n=262144, r=  4
TTOpt        | t=   1.0 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   1.0 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   1.0 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   1.0 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   1.0 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   1.0 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   1.0 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   1.0 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   1.0 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   1.0 | ey=5.0e-04 | evals=1.0e+05 | p=2, q=18, r=  4
TTOpt        | t=   0.5 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=   0.5 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=   0.4 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=   0.4 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=   0.5 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=   0.5 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=   0.5 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=   0.4 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=   0.5 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
