
--- Minimize function Ackley-10dim

TTOpt        | t= 120.2 | ey=4.7e-10 | evals=1.0e+07 | p=2, q=25, r=  4



--- Minimize function Michalewicz-10dim

TTOpt        | t=   0.2 | ey=1.4e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.8e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.1e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.4e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.5e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.3e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.2e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.9e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.2e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.5e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=1.4e-01 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=1.3e-01 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=1.3e-01 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=2.2e-01 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=1.1e-01 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=2.4e-01 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=1.2e-01 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=3.5e-01 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=1.9e-01 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=2.5e-01 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=7.1e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=1.3e-01 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=7.5e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=8.3e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=5.7e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=1.8e-01 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.3 | ey=8.7e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.3 | ey=2.1e-01 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=1.6e-01 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.3 | ey=6.7e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   6.4 | ey=2.7e-02 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   6.0 | ey=3.0e-02 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.9 | ey=1.6e-02 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   6.4 | ey=3.4e-02 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   6.3 | ey=1.9e-02 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   6.7 | ey=1.2e-02 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   6.1 | ey=2.3e-02 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   6.0 | ey=4.4e-02 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.8 | ey=6.5e-03 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.7 | ey=1.7e-02 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  11.8 | ey=1.6e-02 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  13.9 | ey=3.0e-02 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  13.3 | ey=1.6e-02 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  12.5 | ey=1.2e-02 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  12.4 | ey=1.5e-02 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  12.6 | ey=1.2e-02 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  12.3 | ey=2.3e-02 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  12.8 | ey=2.8e-02 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  12.5 | ey=6.5e-03 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  12.4 | ey=1.3e-02 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  62.3 | ey=1.2e-02 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  64.7 | ey=9.3e-03 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  61.1 | ey=7.5e-03 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  61.3 | ey=1.2e-02 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  63.3 | ey=1.2e-02 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  64.5 | ey=1.2e-02 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  63.6 | ey=1.2e-02 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  61.1 | ey=8.8e-03 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  61.2 | ey=5.7e-03 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  60.6 | ey=9.3e-03 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 122.2 | ey=1.0e-02 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 112.1 | ey=9.3e-03 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 110.8 | ey=7.5e-03 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 111.0 | ey=1.0e-02 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 110.6 | ey=1.2e-02 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 110.3 | ey=4.3e-03 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 110.7 | ey=9.3e-03 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 109.9 | ey=8.8e-03 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 117.3 | ey=5.7e-03 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 124.0 | ey=8.8e-03 | evals=1.0e+07 | p=2, q=25, r=  4



--- Minimize function Rastrigin-10dim

TTOpt        | t=   0.2 | ey=4.6e-05 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=5.6e-04 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.8e-01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.1e-02 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=2.0e-02 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=2.0e-02 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=2.4e-05 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=4.3e-04 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=2.2e-01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=5.1e-05 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=4.6e-11 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=4.6e-11 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=4.6e-11 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=4.6e-11 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=4.6e-11 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=4.6e-11 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=4.6e-11 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=4.6e-11 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=4.6e-11 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=4.6e-11 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=4.6e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=4.6e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=4.6e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=4.6e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=4.6e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=4.6e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=4.6e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=4.6e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=4.6e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=4.6e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.9 | ey=4.6e-11 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.9 | ey=4.6e-11 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.8 | ey=4.6e-11 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.8 | ey=4.6e-11 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.9 | ey=4.6e-11 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.9 | ey=4.6e-11 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.9 | ey=4.6e-11 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.7 | ey=4.6e-11 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.8 | ey=4.6e-11 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.6 | ey=4.6e-11 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  11.7 | ey=4.6e-11 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  11.7 | ey=4.6e-11 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  11.6 | ey=4.6e-11 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  11.2 | ey=4.6e-11 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  11.5 | ey=4.6e-11 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  11.7 | ey=4.6e-11 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  11.7 | ey=4.6e-11 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  11.3 | ey=4.6e-11 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  11.4 | ey=4.6e-11 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  11.2 | ey=4.6e-11 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  56.4 | ey=4.6e-11 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  56.6 | ey=4.6e-11 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  57.2 | ey=4.6e-11 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  54.6 | ey=4.6e-11 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  55.7 | ey=4.6e-11 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  57.4 | ey=4.6e-11 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  56.0 | ey=4.6e-11 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  56.5 | ey=4.6e-11 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  56.5 | ey=4.6e-11 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  55.1 | ey=4.6e-11 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 114.1 | ey=4.6e-11 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 114.7 | ey=4.6e-11 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 113.4 | ey=4.6e-11 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 109.7 | ey=4.6e-11 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 110.3 | ey=4.6e-11 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 115.1 | ey=4.6e-11 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 114.7 | ey=4.6e-11 | evals=1.0e+07 | p=2, q=25, r=  4
